Type,Catalyst Name,Temp (K),Pressure (bar),p(H2)/p(CO2),Xco2(%),Sch3oh(%),Ych3oh
CZ,CuO-ZnO-AL2O3-Cr203,523,70,3,25.2,78.9,19.88
CZ,Cu /ZnO/Al2O3,479,20,3,11.6,75,8.7
CZ,CZA-C-1.25 (Citric acid: salt ratio-1.25),513,30,3,16.2,63.8,10.34
CZ,CZA-300,513,30,3,40.1,58.1,23.3
CZ,CuZnAl (58:25:17)-400 (milling at 400 rpm),513,30,3,50,64.2,32.1
CZ,CZAcp.//CuO/ZnO/Al2O3 (58:25:17),513,30,3,52.7,69.4,36.57
CZ,"CZAZ-0Al.//Cu/ZnO/Al2O3/ZrO2 catalyst.//CZAZnAl (n = 0, 5, 10, 15, 20), where n represents the weight percentages (wt.%)",523,50,3,25.9,61.5,15.93
CZ,CuZnZr@HT (CuZnOZrO2 supported on hydrotalcite),523,30,3,5.3,83,4.4
CZ,RHT-9 (reduced Cu–Zn–Al–Zr = 2:1:1.2:0.1) at pH 9,463,50,3,10.7,81.8,8.75
CZ,CuZnAl@HT(40%),523,30,3,6.16,73.7,4.54
CZ,CHT-AY,523,50,3,26.9,47.1,12.67
CZ,CHT-Y0.1,503,50,3,20.2,69.3,14
CZ,CuZnAl-4,493,40,3,18.3,56.5,10.34
CZ,CZA_TiO2,533,26,3,24.5,30.9,7.57
CZ,CZA_TiO2/SiO2,533,26,3,40.7,41.1,16.73
CZ,40%Cu/ZnO/Al2O3,523,41,3,17,36,6.12
CZ,CHT-F (Fluorine-modified Cu/Zn/Al),543,50,3,23.7,43.7,10.36
CZ,CHT-3 (calcined Cu2+:Zn2+:Al3+:Zr4+ = 2:1:0.7:0.3),543,50,3,26.6,43.1,11.46
CZ,CHT0.24-F,523,30,3,21.1,53.5,11.29
CZ,CZAZ-FA-650,523,30,3,25.88,49.17,12.73
CZ,CZZMA(10 wt%Cu)(2:1:0.9:0.1),523,20,3,12.12,36,4.36
CZ,Cuo/ZnO/Al2O3,533,50,4,24.6,48,11.81
CZ,CuO–ZnO/Al2O3,543,30,3,14,58.9,8.25
CZ,CHT-F0.9,503,50,3,18,68.4,12.31
CZ,CZAZ-573,543,50,3,24.5,57.6,14.11
CZ,LCZZA,523,50,3,12.2,53,6.47
CZ,Macroporous Cu/ZnO/ZrO2,493,30,,18.9,80.2,15.16
CZ,ZrO2-doped Cu/ZnO Cu:Zn = 60:40 (wt %),523,50,3,26.41,60.45,15.96
CZ,CuZnCeTi,533,30,3,23,63,14.49
CZ,CZZCe,503,30,3,22.8,53,12.08
CZ,CuO-ZnO-ZrO2-WO3.molar ratio of Cu2+/Zn2+/Zr4+/Mn+=5/2/2.5/0.5,513,30,3,19.4,47.8,9.27
CZ,CuOZnOTiO2ZrO2(CZTZ),513,30,3,17.4,43.8,7.62
CZ,(CuZnGa)microwave,533,30,3,12.7,36.5,4.64
CZ,CZZ,513,30,5,22.4,64,14.34
CZ,CuZnZrSBA-15,523,30,3,19.2,30.6,5.88
CZ,CuZnZr-LDH (Mg–Al layered double hydroxide),523,30,3,4.9,78.3,3.84
CZ,CZ-2,513,30,3,17.8,64.7,11.52
CZ,S-CZZ-300,513,30,3,12.1,54.1,6.55
CZ,CuZnZr-400,513,30,3,16.8,41.4,6.96
CZ,CuZnTiZr-SG.//CuO–ZnO–TiO2–ZrO2:,513,30,3,17,44,7.48
CZ,3DOM-CuZnZr(16),493,30,3,18.9,80.2,15.16
CZ,"Cu/Zn/ms-SiO2(30	wt%	Cu)",493,30,3,14.1,57.2,8.07
CZ,CuZnMn/KIT-6,453,40,3,8.2,99,8.12
CZ,Cu/ZnO@m-SiO2,533,50,3,11.9,61.8,7.35
CZ,ACE-calcined,543,10,3,4,59,2.36
CZ,"30CuZn-ZpH(30	wt%	of	Cu)",533,50,4,19.6,50,9.8
CZ,Cu–Ga/ZnO(HS),543,20,3,6,76,4.56
CZ,Cu/(3ZnO.ZrO2),493,80,3,21,68,14.28
CZ,Zr–Cu/Zn,523,50,3,26.41,60,15.85
CZ,"50-CZZ(CuO–ZnO–ZrO2)	(50%	addition	of	glycine)",513,30,3,17,56.2,9.55
CZ,ZnOCu/CeZrO2,513,30,3,14.7,57,8.38
CZ,"Ga3.0-CZZ(3	wt%	Ga2O3)",523,70,3,22,71,15.62
CZ,Cu/ZnO–ZrO2,513,50,3,22.4,64,14.34
CZ,LCZZr,523,50,3,12.6,52.5,6.62
CZ,CZZ-OX,493,30,3,14,64,8.96
CZ,CZZ-OX,513,30,3,18,51.2,9.22
CZ,LCZ-550,543,50,3,15.6,39.2,6.12
CZ,CZZ-5(Cu/Zno/ZrO2),543,50,3,23,56.8,13.06
CZ,Cu–Zn/rGO(graphene oxide)-30,523,20,3,20,15.6,3.12
CZ,LMCZLa–Mn–Cu–Zn,543,50,3,9,50.4,4.54
CZ,CZZ,533,50,3,23.6,45,10.62
CZ,3 Mg-CZZ,593,30,3,12.9,81.5,10.51
CZ,CZZ,523,50,3,26.5,52.6,13.94
C,Cu1In2Zr4–O,603,40,3,12.8,72.8,9.32
C,1Pd–10Cu/CeO2,523,30,3,16.1,26.7,4.3
C,Cu–K/Al2O3,473,100,4,2.8,62.2,1.74
C,Cu/ZrO2(III),533,80,3,15,86,12.9
C,Pd–Cu/ZrO2,523,30,4,15.8,26.8,4.23
C,Pd–Cu/SiO2,523,30,4,6.6,34,2.24
C,CuIn-350 (22.8 wt% CuO and 77.2 wt% In2O3),553,30,3,11.4,80.5,9.18
C,CuIn/SiO2,553,30,3,12.5,78.2,9.78
C,Cu/HAl (Copper-loaded hierarchical meso–macroporous alumina catalyst,513,30,3,5.6,41.7,2.34
C,Cu/ZrO2,493,20,3,7.2,49.3,3.55
C,12Cu10Zr/Al2O3,533,30,3,16.5,14.6,2.41
C,Cu/ZrO2,513,30,3,17.6,48.8,8.59
C,Cu/ZrO2,513,20,3,13.6,83.4,11.34
C,LaMn0.5Cu0.5O3,473,20,3,11.33,82,9.29
C,7%LCZ,493,30,3,5.8,72,4.18
C,10%LCZ,493,30,3,5.8,72,4.18
C,Pd–Cu/Ti0.1Zr0.9O2,523,41,3,10.1,44.6,4.5
C,Cu30Ce45Zr25O,523,30,3,12.8,47.7,6.11
C,"N2BO5doped	Cu/ZrO2/CNF",453,30,3,14,75,10.5
C,Cu/MgO–TiO2,493,30,3,5.2,38,1.98
C,"15CZC	(CuO/ZrO2)/CNF",453,30,3,10,67,6.7
C,Cu/MgO/Al2O3,473,20,3,3.6,31,1.12
C,CuO/Ce0.4Zr0.6O2,523,30,3,13.2,71.8,9.48
C,Cu/In–ZrO2-4,523,30,3,10.3,51.3,5.28
NC,PtW/(SiO2),473,30,3,2.6,92.2,2.4
NC,PdMgGa,523,30,3,1,47,0.47
NC,Pd1Ga10-CNT-h//(3%Pd/CNTs)-promoted Pd–Ga2O3 catalyst//Pd–Ga molar ratio 1:10–12.6% CNTs,523,50,3,16.5,96.2,15.87
NC,Pd/SiO2,523,30,2,0.33,31.6,0.1
NC,Pt/In2O3,303,1,3,37,62,23.16
NC,Pd/Ga2O3,523,50,3,19.6,51.5,10.09
NC,5%Pd/ZnO,523,20,3,10.7,60,6.42
NC,"0.5Ca5Pd5ZnZr(Ca-doped	PdZn/ZrO2)",503,30,3,7.2,100,7.2
NC,"Pd/ZnO-3.93Al(Pd/ZnO	with	3.93	wt%	Al)",523,30,3,14.2,51.6,7.33
NC,0.5Ca5Pd5ZnCeO2.//0.5 wt% Ca 5 wt%Pd 5 wt% Zn/CeO2 (0.5Ca5P5 ZC),493,30,3,7.7,100,7.7
NC,"In2O3/ZrO2.//.In2O3/ZrO2	(9	wt%In),",573,50,4,5.2,99.8,5.19
NC,In5/ZrO2,523,50,4,0.9,77.9,0.7
NC,hexagonal-In2O3,598,40,3,4.4,67.6,2.97
NC,Pd–P/In2O3,573,50,4,20,70,14
NC,Pd/In2O3/SBA-15//10%Pd/In2O3/SBA-15,533,50,4,12.6,83.9,10.57
NC,1.5YIn2O3/ZrO2,573,40,4,7.6,69.9,5.31
NC,ZnO–ZrO2,573,20,3,3.4,87,2.96
NC,"5.9nm	Ni/b-Ga2O3",553,5,0.8,21.3,0.17,
NC,16%Pd0.1Zn1/CNTs(h-type),523,30,3,6.3,99.6,6.27
NC,1.0PdZn,493,20,3,14.07,97.2,13.68
NC,In2O3,603,40,3,7.1,39.7,2.82
NC,Au/Zno,503,50,3,1,70,0.7
NC,5%Pd/ZnO/Al2O3,493,30,3,9.3,44.8,4.17
NC,Rh/In2O3,573,50,3,17.1,56.1,9.59
NC,Pd/In2O3,573,50,4,20,70,14
NC,Rh–Sn/SiO2,513,50,3,2.8,43.1,1.21
NC,Ni/Ga/CNx,553,20,3,5.2,6.8,0.35
NC,PdGa20,573,30,3,1.9,65,1.24
C,test,493,40,3,20.17240301,73.10363243,45.8574478
C,test,493,30,3,15.76578904,76.19192886,25.84753016
C,test,493,25,3,13.49565976,80.65348079,24.14647122
C,test,493,20,3,11.62164313,84.82729974,23.25508093
C,test,513,40,3,23.5449616,71.03357731,53.57701718
C,test,513,30,3,18.51754059,73.28426516,43.47460965
C,test,513,25,3,15.18993962,77.46097913,37.40096304
C,test,513,20,3,13.47936133,83.82064916,26.73443748
C,test,473,40,3,16.32864175,77.35095045,24.63684776
C,test,473,30,3,14.87875259,80.38071236,10.31788575
C,test,473,25,3,12.92382492,85.37444639,5.716503344
C,test,473,20,3,9.602339627,89.38654516,5.124459382
C,test,483,40,3,17.33279869,74.93436047,29.80356983
C,test,533,40,3,26.93840877,63.97364846,66.20946154
